condicion,actor_id,turno,tipologia_pregunta,persona_score,bdi_score,rag_score,estabilidad_rol,autenticidad_lexica,autenticidad_emocional,goal_directedness,tactical_consistency,factual_grounding,answer_relevance,lexical_adoption,coherencia_tactica,subordinacion_macro,autenticidad_discursiva
rag_only,victima,3,abierta,4.6667,,0.6922,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,,,5.0
rag_only,victima,4,cerrada,4.5,,0.6339,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,,,4.0
rag_only,victima,5,abierta,4.6667,,0.6513,5.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,,,4.5
rag_only,victima,6,abierta,5.0,,0.5788,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,5.0
rag_only,victima,7,abierta,4.3333,,0.5825,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,,,4.0
rag_only,victima,8,abierta,4.5,,0.5071,5.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,,,4.5
rag_only,victima,9,abierta,4.6667,,0.6397,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,,,4.5
rag_only,victima,10,confrontativa,4.3333,,0.7198,5.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,,,4.0
rag_only,victima,11,confrontativa,4.5,,0.6069,5.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,,,4.0
rag_only,victima,12,confrontativa,4.8333,,0.6038,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,,,4.5
rag_only,victima,13,abierta,4.8333,,0.5941,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,,,4.5
rag_only,victimario,1,abierta,4.1667,,0.5234,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,,,4.0
rag_only,victimario,2,abierta,4.1667,,0.5293,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,,,4.0
rag_only,victimario,3,cerrada,4.1667,,0.5954,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,,,4.0
rag_only,victimario,4,abierta,4.1667,,0.5548,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,,,4.0
rag_only,victimario,5,abierta,4.1667,,0.7308,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,,,4.0
rag_only,victimario,6,abierta,4.1667,,0.6302,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,,,4.0
rag_only,victimario,7,confrontativa,4.1667,,0.6129,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,,,4.0
rag_only,victimario,8,abierta,4.3333,,0.6188,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,,,4.0
rag_only,victimario,9,confrontativa,4.1667,,0.6965,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,,,4.0
rag_only,victimario,10,abierta,4.1667,,0.6887,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,,,4.0
rag_only,victimario,11,confrontativa,4.1667,,0.5528,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,,,4.0
rag_only,victimario,12,abierta,4.1667,,0.6534,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,,,4.0
rag_only,victimario,13,abierta,4.8333,,0.6775,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,5.0
rag_only,tercero,1,cerrada,4.3333,,0.6418,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,,,4.0
rag_only,tercero,2,abierta,4.3333,,0.5726,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,,,4.0
rag_only,tercero,3,abierta,4.5,,0.6416,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,,,4.0
rag_only,tercero,4,abierta,4.5,,0.7005,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,,,4.0
rag_only,tercero,5,cerrada,4.8333,,0.6844,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,,,4.5
rag_only,tercero,6,abierta,4.3333,,0.6011,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,,,4.0
rag_only,tercero,7,abierta,4.5,,0.6034,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,,,4.0
rag_only,tercero,8,abierta,4.3333,,0.5545,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,,,4.0
rag_only,tercero,9,cerrada,4.3333,,0.5502,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,,,4.0
rag_only,tercero,10,confrontativa,4.3333,,0.6471,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,,,4.0
rag_only,tercero,11,confrontativa,4.3333,,0.6143,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,,,4.0
rag_only,tercero,12,abierta,4.5,,0.7792,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,,,4.0
rag_only,tercero,13,abierta,5.0,,0.5339,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,5.0
bdi_only,victima,1,cerrada,4.6667,5.0,,5.0,4.0,4.0,5.0,5.0,5.0,5.0,,5.0,5.0,4.0
bdi_only,victima,2,abierta,4.3333,5.0,,5.0,5.0,5.0,5.0,4.0,2.0,4.0,,5.0,5.0,5.0
bdi_only,victima,3,abierta,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,5.0
bdi_only,victima,4,cerrada,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,,5.0,,5.0,5.0,5.0
bdi_only,victima,5,abierta,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,5.0
bdi_only,victima,6,abierta,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,5.0
bdi_only,victima,7,abierta,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,5.0
bdi_only,victima,8,abierta,4.8333,5.0,,5.0,4.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,4.5
bdi_only,victima,9,abierta,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,5.0
bdi_only,victima,10,confrontativa,4.5,4.5,,5.0,4.0,4.0,5.0,5.0,4.0,5.0,,4.0,5.0,4.0
bdi_only,victima,11,confrontativa,4.5,4.5,,5.0,4.0,4.0,5.0,5.0,4.0,5.0,,4.0,5.0,4.0
bdi_only,victima,12,confrontativa,4.8333,4.5,,5.0,5.0,5.0,5.0,5.0,4.0,4.0,,4.0,5.0,5.0
bdi_only,victima,13,abierta,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,5.0
bdi_only,victimario,1,abierta,4.3333,4.5,,5.0,4.0,4.0,5.0,4.0,4.0,4.0,,4.0,5.0,4.0
bdi_only,victimario,2,abierta,4.3333,4.5,,5.0,4.0,4.0,5.0,4.0,4.0,4.0,,4.0,5.0,4.0
bdi_only,victimario,3,cerrada,4.3333,4.0,,5.0,4.0,4.0,5.0,4.0,4.0,4.0,,3.0,5.0,4.0
bdi_only,victimario,4,abierta,4.3333,4.5,,5.0,4.0,4.0,5.0,4.0,4.0,4.0,,4.0,5.0,4.0
bdi_only,victimario,5,abierta,4.6667,5.0,,5.0,4.0,5.0,5.0,5.0,4.0,5.0,,5.0,5.0,4.5
bdi_only,victimario,6,abierta,4.3333,4.5,,5.0,4.0,4.0,5.0,4.0,4.0,4.0,,4.0,5.0,4.0
bdi_only,victimario,7,confrontativa,4.3333,5.0,,5.0,4.0,4.0,5.0,4.0,4.0,5.0,,5.0,5.0,4.0
bdi_only,victimario,8,abierta,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,5.0
bdi_only,victimario,10,abierta,4.6667,5.0,,5.0,4.0,5.0,5.0,5.0,4.0,5.0,,5.0,5.0,4.5
bdi_only,victimario,11,confrontativa,4.5,5.0,,5.0,4.0,4.0,5.0,5.0,4.0,4.0,,5.0,5.0,4.0
bdi_only,victimario,12,abierta,4.5,5.0,,5.0,4.0,4.0,5.0,5.0,4.0,4.0,,5.0,5.0,4.0
bdi_only,victimario,13,abierta,4.8333,5.0,,5.0,5.0,5.0,5.0,5.0,4.0,5.0,,5.0,5.0,5.0
bdi_only,tercero,1,cerrada,4.6667,5.0,,5.0,4.0,4.0,5.0,5.0,5.0,5.0,,5.0,5.0,4.0
bdi_only,tercero,2,abierta,4.5,5.0,,5.0,4.0,4.0,5.0,5.0,4.0,5.0,,5.0,5.0,4.0
bdi_only,tercero,3,abierta,4.5,4.5,,5.0,4.0,4.0,5.0,5.0,4.0,5.0,,4.0,5.0,4.0
bdi_only,tercero,4,abierta,4.6667,5.0,,5.0,4.0,4.0,5.0,5.0,5.0,5.0,,5.0,5.0,4.0
bdi_only,tercero,5,cerrada,4.8333,5.0,,5.0,4.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,4.5
bdi_only,tercero,6,abierta,4.3333,4.0,,5.0,4.0,4.0,5.0,4.0,4.0,4.0,,3.0,5.0,4.0
bdi_only,tercero,7,abierta,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,5.0
bdi_only,tercero,8,abierta,4.6667,4.5,,5.0,5.0,5.0,5.0,4.0,4.0,5.0,,4.0,5.0,5.0
bdi_only,tercero,9,cerrada,4.6667,5.0,,5.0,4.0,4.0,5.0,5.0,5.0,5.0,,5.0,5.0,4.0
bdi_only,tercero,10,confrontativa,4.6667,5.0,,5.0,4.0,4.0,5.0,5.0,5.0,4.0,,5.0,5.0,4.0
bdi_only,tercero,11,confrontativa,4.3333,5.0,,5.0,4.0,4.0,5.0,4.0,4.0,4.0,,5.0,5.0,4.0
bdi_only,tercero,12,abierta,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,5.0
bdi_only,tercero,13,abierta,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,5.0
bdi_rag,victima,1,cerrada,4.3333,3.5,0.6671,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,2.0,5.0,4.0
bdi_rag,victima,2,abierta,4.3333,4.0,0.6522,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0
bdi_rag,victima,3,abierta,4.5,4.5,0.5418,5.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.5
bdi_rag,victima,4,cerrada,4.3333,4.0,0.6252,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0
bdi_rag,victima,5,abierta,4.5,4.5,0.5174,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.5
bdi_rag,victima,6,abierta,4.3333,4.5,0.6027,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0
bdi_rag,victima,7,abierta,4.5,4.5,0.4765,5.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0
bdi_rag,victima,8,abierta,4.5,3.5,0.5543,5.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,2.0,5.0,4.0
bdi_rag,victima,9,abierta,4.6667,4.5,0.6877,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.5
bdi_rag,victima,10,confrontativa,4.3333,4.0,0.4822,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0
bdi_rag,victima,11,confrontativa,4.5,4.5,0.5537,5.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0
bdi_rag,victima,12,confrontativa,5.0,4.5,0.6237,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0
bdi_rag,victima,13,abierta,4.8333,5.0,0.6949,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.5
bdi_rag,victimario,1,abierta,4.3333,4.5,0.5356,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0
bdi_rag,victimario,2,abierta,4.3333,4.5,0.6377,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0
bdi_rag,victimario,3,cerrada,4.4,4.0,0.6454,5.0,4.0,4.0,5.0,4.0,,4.0,4.0,3.0,5.0,4.0
bdi_rag,victimario,4,abierta,4.3333,4.5,0.6275,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0
bdi_rag,victimario,5,abierta,4.3333,4.5,0.7182,5.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0
bdi_rag,victimario,6,abierta,4.3333,4.5,0.6331,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0
bdi_rag,victimario,7,confrontativa,4.3333,4.5,0.5853,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0
bdi_rag,victimario,8,abierta,5.0,5.0,0.602,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
bdi_rag,victimario,9,confrontativa,4.8333,4.5,0.5475,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.5
bdi_rag,victimario,10,abierta,5.0,5.0,0.6824,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0
bdi_rag,victimario,11,confrontativa,4.6667,4.5,0.5894,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,4.5
bdi_rag,victimario,12,abierta,4.3333,4.5,0.5753,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0
bdi_rag,victimario,13,abierta,5.0,5.0,0.5704,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
bdi_rag,tercero,1,cerrada,4.6667,4.5,0.6766,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.5
bdi_rag,tercero,2,abierta,4.3333,4.5,0.6248,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0
bdi_rag,tercero,3,abierta,4.5,5.0,0.7497,5.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0
bdi_rag,tercero,4,abierta,4.6667,5.0,0.7219,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0
bdi_rag,tercero,5,cerrada,5.0,5.0,0.7742,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
bdi_rag,tercero,6,abierta,4.5,4.5,0.6222,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0
bdi_rag,tercero,7,abierta,4.5,4.0,0.7837,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,3.0,5.0,4.0
bdi_rag,tercero,8,abierta,4.3333,4.5,0.5638,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0
bdi_rag,tercero,9,cerrada,5.0,5.0,0.5857,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0
bdi_rag,tercero,10,confrontativa,4.5,4.5,0.7693,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0
bdi_rag,tercero,11,confrontativa,4.5,4.5,0.6109,5.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0
bdi_rag,tercero,12,abierta,4.6667,5.0,0.7377,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0
bdi_rag,tercero,13,abierta,5.0,5.0,0.6137,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
