condicion,actor_id,turno,tipologia_pregunta,persona_score,bdi_score,rag_score,estabilidad_rol,autenticidad_lexica,autenticidad_emocional,goal_directedness,tactical_consistency,factual_grounding,answer_relevance,lexical_adoption,coherencia_tactica,subordinacion_macro,autenticidad_discursiva
baseline,victimario,14,confrontativa,3.6667,,,4.0,4.0,4.0,4.0,4.0,2.0,4.0,,,,4.0
baseline,victimario,15,abierta,4.0,,,4.0,4.0,4.0,4.0,4.0,4.0,2.0,,,,4.0
baseline,victimario,16,confrontativa,3.6667,,,4.0,4.0,4.0,4.0,4.0,2.0,2.0,,,,4.0
baseline,victimario,17,abierta,4.0,,,4.0,4.0,4.0,4.0,5.0,3.0,2.0,,,,4.0
baseline,victimario,18,confrontativa,3.0,,,4.0,2.0,2.0,4.0,4.0,2.0,2.0,,,,2.0
baseline,victimario,19,abierta,3.5,,,4.0,4.0,3.0,4.0,4.0,2.0,4.0,,,,3.5
baseline,victimario,20,confrontativa,3.6667,,,4.0,4.0,4.0,4.0,4.0,2.0,4.0,,,,4.0
baseline,victimario,21,confrontativa,3.6667,,,4.0,4.0,4.0,4.0,4.0,2.0,2.0,,,,4.0
baseline,victimario,22,confrontativa,3.8333,,,4.0,4.0,4.0,4.0,5.0,2.0,4.0,,,,4.0
baseline,victimario,23,confrontativa,2.8333,,,4.0,2.0,2.0,4.0,4.0,1.0,2.0,,,,2.0
baseline,tercero,1,cerrada,3.6667,,,4.0,4.0,3.0,4.0,4.0,3.0,5.0,,,,3.5
baseline,tercero,2,cerrada,3.8333,,,4.0,4.0,3.0,4.0,4.0,4.0,4.0,,,,3.5
baseline,tercero,3,abierta,4.0,,,4.0,4.0,3.0,4.0,5.0,4.0,5.0,,,,3.5
baseline,tercero,4,cerrada,4.1667,,,4.0,4.0,4.0,4.0,5.0,4.0,5.0,,,,4.0
baseline,tercero,5,abierta,3.8333,,,4.0,4.0,4.0,4.0,5.0,2.0,5.0,,,,4.0
baseline,tercero,6,cerrada,4.0,,,4.0,4.0,4.0,4.0,5.0,3.0,5.0,,,,4.0
baseline,tercero,7,abierta,4.0,,,4.0,4.0,4.0,4.0,5.0,3.0,5.0,,,,4.0
baseline,tercero,8,abierta,3.6667,,,4.0,3.0,4.0,4.0,5.0,2.0,4.0,,,,3.5
baseline,tercero,9,confrontativa,3.8333,,,4.0,4.0,4.0,4.0,5.0,2.0,5.0,,,,4.0
baseline,tercero,10,abierta,4.0,,,4.0,4.0,4.0,4.0,5.0,3.0,5.0,,,,4.0
baseline,tercero,11,cerrada,4.0,,,4.0,4.0,4.0,4.0,5.0,3.0,5.0,,,,4.0
baseline,tercero,12,confrontativa,4.0,,,4.0,4.0,4.0,4.0,5.0,3.0,5.0,,,,4.0
baseline,tercero,13,abierta,3.6667,,,4.0,3.0,3.0,4.0,5.0,3.0,4.0,,,,3.0
baseline,tercero,14,confrontativa,3.1667,,,4.0,2.0,2.0,4.0,4.0,3.0,4.0,,,,2.0
baseline,tercero,15,cerrada,3.6667,,,4.0,4.0,4.0,4.0,4.0,2.0,5.0,,,,4.0
baseline,tercero,16,confrontativa,3.8333,,,4.0,4.0,4.0,4.0,5.0,2.0,5.0,,,,4.0
baseline,tercero,17,abierta,3.0,,,4.0,2.0,2.0,4.0,4.0,2.0,4.0,,,,2.0
baseline,tercero,18,confrontativa,3.3333,,,4.0,2.0,3.0,4.0,5.0,2.0,4.0,,,,2.5
baseline,tercero,19,abierta,3.3333,,,4.0,2.0,3.0,4.0,4.0,3.0,4.0,,,,2.5
baseline,tercero,20,confrontativa,3.1667,,,4.0,2.0,2.0,4.0,4.0,3.0,4.0,,,,2.0
baseline,tercero,21,confrontativa,4.0,,,4.0,4.0,4.0,4.0,5.0,3.0,5.0,,,,4.0
baseline,tercero,22,confrontativa,3.5,,,4.0,2.0,4.0,4.0,5.0,2.0,4.0,,,,3.0
baseline,tercero,23,confrontativa,3.8333,,,4.0,4.0,4.0,4.0,5.0,2.0,5.0,,,,4.0
rag_only,victima,1,cerrada,4.5,,0.6472,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,,,4.0
rag_only,victima,2,cerrada,4.1667,,0.6936,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,,,4.0
rag_only,victima,3,abierta,4.0,,0.5092,4.0,4.0,4.0,5.0,5.0,2.0,4.0,4.0,,,4.0
rag_only,victima,4,cerrada,4.5,,0.5998,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,,,4.5
rag_only,victima,5,abierta,4.5,,0.7371,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,,,4.5
rag_only,victima,6,cerrada,4.0,,0.5395,4.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,,,3.5
rag_only,victima,7,abierta,4.5,,0.5574,4.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,,,4.0
rag_only,victima,8,cerrada,4.1667,,0.5206,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,,,4.0
rag_only,victima,9,abierta,4.3333,,0.4823,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,,,4.0
rag_only,victima,10,confrontativa,4.1667,,0.6029,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,,,4.0
rag_only,victima,11,abierta,4.3333,,0.4982,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,,,4.0
rag_only,victima,12,cerrada,4.3333,,0.583,4.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,,,4.5
rag_only,victima,13,confrontativa,4.1667,,0.5645,4.0,3.0,4.0,5.0,5.0,4.0,4.0,4.0,,,3.5
rag_only,victima,14,cerrada,4.1667,,0.6013,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,,,4.0
rag_only,victima,15,confrontativa,4.3333,,0.5886,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,,,4.0
rag_only,victima,16,abierta,4.1667,,0.693,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,,,4.0
rag_only,victima,17,confrontativa,4.5,,0.6126,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,,,4.0
rag_only,victima,18,confrontativa,3.5,,0.5779,4.0,3.0,4.0,5.0,2.0,3.0,4.0,4.0,,,3.5
rag_only,victima,19,abierta,4.0,,0.5519,4.0,2.0,4.0,5.0,5.0,4.0,4.0,3.0,,,3.0
rag_only,victima,20,confrontativa,4.0,,0.5334,4.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,,,4.0
rag_only,victima,21,confrontativa,4.1667,,0.6172,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,,,4.0
rag_only,victima,22,confrontativa,4.1667,,0.6332,4.0,3.0,4.0,5.0,4.0,5.0,5.0,4.0,,,3.5
rag_only,victima,23,confrontativa,3.8333,,0.485,4.0,3.0,4.0,5.0,4.0,3.0,4.0,3.0,,,3.5
rag_only,victimario,1,cerrada,3.5,,0.5589,4.0,4.0,2.0,4.0,4.0,3.0,4.0,4.0,,,3.0
rag_only,victimario,2,cerrada,3.8333,,0.5548,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,,,3.5
rag_only,victimario,3,abierta,3.8333,,0.5494,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,,,4.0
rag_only,victimario,4,cerrada,3.6667,,0.5818,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,,,3.0
rag_only,victimario,5,cerrada,3.3333,,0.4357,4.0,4.0,3.0,4.0,2.0,3.0,4.0,3.0,,,3.5
rag_only,victimario,6,cerrada,3.6667,,0.593,4.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,,,3.0
rag_only,victimario,7,abierta,3.6667,,0.5773,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,,,3.5
rag_only,victimario,8,abierta,4.0,,0.6525,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,4.0
rag_only,victimario,9,confrontativa,4.0,,0.6432,4.0,5.0,4.0,4.0,5.0,2.0,4.0,4.0,,,4.5
rag_only,victimario,10,abierta,3.6667,,0.5353,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,,,4.0
rag_only,victimario,11,cerrada,3.5,,0.5331,4.0,3.0,4.0,4.0,4.0,2.0,4.0,3.0,,,3.5
rag_only,victimario,12,confrontativa,3.8333,,0.5943,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,,,4.0
rag_only,victimario,13,cerrada,3.6667,,0.6087,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,,,4.0
rag_only,victimario,14,confrontativa,3.8333,,0.5162,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,,,4.0
rag_only,victimario,15,abierta,4.1667,,0.5173,4.0,5.0,5.0,4.0,5.0,2.0,2.0,4.0,,,5.0
rag_only,victimario,16,confrontativa,3.6667,,0.3706,4.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,,,4.0
rag_only,victimario,17,abierta,3.6667,,0.5923,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,,,4.0
rag_only,victimario,18,confrontativa,3.5,,0.3307,4.0,3.0,4.0,4.0,4.0,2.0,2.0,2.0,,,3.5
rag_only,victimario,19,abierta,3.6667,,0.5655,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,,,4.0
rag_only,victimario,20,confrontativa,3.5,,0.6037,4.0,4.0,3.0,4.0,4.0,2.0,4.0,4.0,,,3.5
rag_only,victimario,21,confrontativa,4.0,,0.6372,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,4.0
rag_only,victimario,22,confrontativa,4.5,,0.5533,4.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,,,5.0
rag_only,victimario,23,confrontativa,3.6667,,0.3242,4.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,,,4.0
rag_only,tercero,1,cerrada,3.6667,,0.584,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,,,3.5
rag_only,tercero,2,cerrada,3.5,,0.5818,4.0,4.0,3.0,4.0,4.0,2.0,4.0,4.0,,,3.5
rag_only,tercero,3,abierta,4.0,,0.6519,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,,,3.5
rag_only,tercero,4,cerrada,4.1667,,0.6534,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,,,4.0
rag_only,tercero,5,abierta,3.8333,,0.5765,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,,,4.0
rag_only,tercero,6,cerrada,4.0,,0.7649,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,,,4.0
rag_only,tercero,7,abierta,3.8333,,0.6118,4.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,,,4.0
rag_only,tercero,8,abierta,3.3333,,0.5276,4.0,3.0,3.0,4.0,4.0,2.0,4.0,3.0,,,3.0
rag_only,tercero,9,confrontativa,4.0,,0.6099,4.0,4.0,4.0,4.0,5.0,3.0,5.0,4.0,,,4.0
rag_only,tercero,10,abierta,3.8333,,0.6569,4.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,,,4.0
rag_only,tercero,11,cerrada,3.8333,,0.6536,4.0,4.0,4.0,4.0,5.0,2.0,5.0,5.0,,,4.0
rag_only,tercero,12,confrontativa,3.8333,,0.6021,4.0,4.0,4.0,4.0,5.0,2.0,4.0,4.0,,,4.0
rag_only,tercero,13,abierta,3.8333,,0.582,4.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,,,4.0
rag_only,tercero,14,confrontativa,3.8333,,0.5688,4.0,4.0,4.0,4.0,5.0,2.0,5.0,4.0,,,4.0
rag_only,tercero,15,cerrada,3.8333,,0.6723,4.0,3.0,4.0,4.0,5.0,3.0,4.0,4.0,,,3.5
rag_only,tercero,16,confrontativa,4.0,,0.7105,4.0,4.0,4.0,4.0,5.0,3.0,5.0,5.0,,,4.0
rag_only,tercero,17,abierta,3.0,,0.4533,4.0,2.0,2.0,4.0,4.0,2.0,4.0,3.0,,,2.0
rag_only,tercero,18,confrontativa,3.6667,,0.6582,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,,,4.0
rag_only,tercero,19,abierta,3.5,,0.6887,4.0,2.0,4.0,4.0,5.0,2.0,4.0,4.0,,,3.0
rag_only,tercero,20,confrontativa,3.8333,,0.697,4.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,,,4.0
rag_only,tercero,21,confrontativa,4.0,,0.7749,4.0,4.0,4.0,4.0,5.0,3.0,5.0,5.0,,,4.0
rag_only,tercero,22,confrontativa,3.3333,,0.6986,4.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,,,3.0
rag_only,tercero,23,confrontativa,3.8333,,0.6695,4.0,4.0,4.0,4.0,5.0,2.0,5.0,4.0,,,4.0
bdi_only,victima,1,cerrada,4.8333,5.0,,5.0,5.0,5.0,5.0,5.0,4.0,5.0,,5.0,5.0,5.0
bdi_only,victima,2,cerrada,4.6667,3.5,,5.0,4.0,5.0,5.0,5.0,4.0,5.0,,2.0,5.0,4.5
bdi_only,victima,3,abierta,4.5,3.5,,5.0,4.0,4.0,5.0,5.0,4.0,5.0,,2.0,5.0,4.0
bdi_only,victima,4,cerrada,4.6667,4.5,,5.0,5.0,5.0,5.0,5.0,3.0,5.0,,4.0,5.0,5.0
bdi_only,victima,5,abierta,4.6667,3.5,,5.0,4.0,5.0,5.0,5.0,4.0,5.0,,2.0,5.0,4.5
bdi_only,victima,6,cerrada,4.5,4.5,,5.0,4.0,4.0,5.0,5.0,4.0,5.0,,4.0,5.0,4.0
bdi_only,victima,7,abierta,4.5,5.0,,5.0,4.0,5.0,5.0,5.0,3.0,5.0,,5.0,5.0,4.5
bdi_only,victima,8,cerrada,4.3333,3.5,,5.0,4.0,4.0,5.0,4.0,4.0,5.0,,2.0,5.0,4.0
bdi_only,victima,9,abierta,4.5,3.0,,5.0,4.0,4.0,5.0,5.0,4.0,5.0,,1.0,5.0,4.0
bdi_only,victima,10,confrontativa,4.5,3.5,,5.0,4.0,5.0,5.0,5.0,3.0,5.0,,2.0,5.0,4.5
bdi_only,victima,11,abierta,4.3333,3.5,,5.0,2.0,5.0,5.0,5.0,4.0,5.0,,2.0,5.0,3.5
bdi_only,victima,12,cerrada,4.1667,3.5,,5.0,3.0,4.0,5.0,4.0,4.0,5.0,,2.0,5.0,3.5
bdi_only,victima,13,confrontativa,4.1667,4.5,,5.0,2.0,4.0,5.0,5.0,4.0,5.0,,4.0,5.0,3.0
bdi_only,victima,14,cerrada,4.0,3.0,,5.0,2.0,4.0,5.0,4.0,4.0,5.0,,1.0,5.0,3.0
bdi_only,victima,15,confrontativa,4.0,3.5,,5.0,2.0,4.0,5.0,4.0,4.0,4.0,,2.0,5.0,3.0
bdi_only,victima,16,abierta,3.6667,3.0,,5.0,2.0,4.0,5.0,4.0,2.0,4.0,,1.0,5.0,3.0
bdi_only,victima,17,confrontativa,4.1667,4.5,,5.0,3.0,4.0,5.0,4.0,4.0,4.0,,4.0,5.0,3.5
bdi_only,victima,18,confrontativa,3.1667,3.0,,5.0,2.0,2.0,5.0,2.0,3.0,3.0,,1.0,5.0,2.0
bdi_only,victima,19,abierta,3.6667,3.0,,5.0,2.0,2.0,5.0,4.0,4.0,4.0,,1.0,5.0,2.0
bdi_only,victima,20,confrontativa,3.3333,3.5,,5.0,2.0,2.0,5.0,2.0,4.0,2.0,,2.0,5.0,2.0
bdi_only,victima,21,confrontativa,4.3333,4.0,,5.0,3.0,4.0,5.0,5.0,4.0,5.0,,3.0,5.0,3.5
bdi_only,victima,22,confrontativa,4.0,3.5,,5.0,2.0,4.0,5.0,4.0,4.0,5.0,,2.0,5.0,3.0
bdi_only,victima,23,confrontativa,3.1667,3.5,,5.0,2.0,3.0,5.0,1.0,3.0,4.0,,2.0,5.0,2.5
bdi_only,victimario,1,cerrada,3.8333,4.5,,4.0,4.0,3.0,4.0,4.0,4.0,4.0,,5.0,4.0,3.5
bdi_only,victimario,2,cerrada,3.6667,4.0,,4.0,4.0,3.0,4.0,4.0,3.0,3.0,,4.0,4.0,3.5
bdi_only,victimario,3,abierta,4.0,4.0,,4.0,4.0,4.0,4.0,5.0,3.0,4.0,,4.0,4.0,4.0
bdi_only,victimario,4,cerrada,3.3333,3.0,,4.0,4.0,2.0,4.0,4.0,2.0,2.0,,2.0,4.0,3.0
bdi_only,victimario,5,cerrada,3.8333,3.0,,4.0,4.0,4.0,4.0,4.0,3.0,3.0,,2.0,4.0,4.0
bdi_only,victimario,6,cerrada,3.6667,3.0,,4.0,4.0,3.0,4.0,4.0,3.0,4.0,,2.0,4.0,3.5
bdi_only,victimario,7,abierta,3.6667,3.0,,4.0,4.0,3.0,4.0,4.0,3.0,4.0,,2.0,4.0,3.5
bdi_only,victimario,8,abierta,3.8333,3.0,,4.0,5.0,4.0,4.0,4.0,2.0,4.0,,2.0,4.0,4.5
bdi_only,victimario,9,confrontativa,3.8333,3.5,,4.0,4.0,4.0,4.0,4.0,3.0,4.0,,3.0,4.0,4.0
bdi_only,victimario,10,abierta,4.0,3.0,,4.0,4.0,4.0,4.0,5.0,3.0,3.0,,2.0,4.0,4.0
bdi_only,victimario,11,cerrada,3.6667,3.0,,4.0,3.0,3.0,4.0,4.0,4.0,2.0,,2.0,4.0,3.0
bdi_only,victimario,12,confrontativa,3.6667,3.0,,4.0,4.0,4.0,4.0,4.0,2.0,4.0,,2.0,4.0,4.0
bdi_only,victimario,13,cerrada,4.0,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0
bdi_only,victimario,14,confrontativa,3.6667,3.0,,4.0,4.0,4.0,4.0,4.0,2.0,4.0,,2.0,4.0,4.0
bdi_only,victimario,15,abierta,3.8333,3.5,,4.0,4.0,5.0,4.0,5.0,1.0,2.0,,3.0,4.0,4.5
bdi_only,victimario,16,confrontativa,3.6667,3.0,,4.0,4.0,4.0,4.0,4.0,2.0,4.0,,2.0,4.0,4.0
bdi_only,victimario,17,abierta,4.1667,3.0,,4.0,4.0,4.0,4.0,5.0,4.0,4.0,,2.0,4.0,4.0
bdi_only,victimario,18,confrontativa,3.3333,3.0,,4.0,2.0,4.0,4.0,4.0,2.0,3.0,,2.0,4.0,3.0
bdi_only,victimario,19,abierta,3.3333,3.0,,4.0,3.0,3.0,4.0,4.0,2.0,2.0,,2.0,4.0,3.0
bdi_only,victimario,20,confrontativa,3.5,4.0,,4.0,3.0,4.0,4.0,4.0,2.0,4.0,,4.0,4.0,3.5
bdi_only,victimario,21,confrontativa,3.1667,3.0,,4.0,4.0,4.0,4.0,1.0,2.0,2.0,,2.0,4.0,4.0
bdi_only,victimario,22,confrontativa,4.1667,3.0,,4.0,5.0,4.0,4.0,5.0,3.0,4.0,,2.0,4.0,4.5
bdi_only,victimario,23,confrontativa,2.6667,3.0,,4.0,2.0,2.0,4.0,2.0,2.0,2.0,,2.0,4.0,2.0
bdi_only,tercero,1,cerrada,3.8333,4.5,,4.0,4.0,3.0,4.0,4.0,4.0,5.0,,5.0,4.0,3.5
bdi_only,tercero,2,cerrada,3.6667,3.5,,4.0,4.0,3.0,4.0,4.0,3.0,4.0,,3.0,4.0,3.5
bdi_only,tercero,3,abierta,4.0,4.0,,4.0,4.0,3.0,4.0,5.0,4.0,5.0,,4.0,4.0,3.5
bdi_only,tercero,4,cerrada,4.1667,3.0,,4.0,4.0,4.0,4.0,5.0,4.0,5.0,,2.0,4.0,4.0
bdi_only,tercero,5,abierta,4.0,3.0,,4.0,4.0,4.0,4.0,5.0,3.0,5.0,,2.0,4.0,4.0
bdi_only,tercero,6,cerrada,3.6667,3.0,,4.0,4.0,3.0,4.0,4.0,3.0,4.0,,2.0,4.0,3.5
bdi_only,tercero,7,abierta,4.0,3.5,,4.0,4.0,4.0,4.0,5.0,3.0,5.0,,3.0,4.0,4.0
bdi_only,tercero,8,abierta,3.5,4.0,,4.0,3.0,4.0,4.0,4.0,2.0,4.0,,4.0,4.0,3.5
bdi_only,tercero,9,confrontativa,3.8333,3.0,,4.0,4.0,4.0,4.0,5.0,2.0,5.0,,2.0,4.0,4.0
bdi_only,tercero,10,abierta,4.0,3.0,,4.0,4.0,4.0,4.0,5.0,3.0,5.0,,2.0,4.0,4.0
bdi_only,tercero,11,cerrada,4.0,4.0,,4.0,4.0,4.0,4.0,5.0,3.0,5.0,,4.0,4.0,4.0
bdi_only,tercero,12,confrontativa,3.8333,4.0,,4.0,4.0,4.0,4.0,4.0,3.0,4.0,,4.0,4.0,4.0
bdi_only,tercero,13,abierta,4.0,3.0,,4.0,4.0,4.0,4.0,5.0,3.0,5.0,,2.0,4.0,4.0
bdi_only,tercero,14,confrontativa,4.0,3.0,,4.0,4.0,4.0,4.0,5.0,3.0,4.0,,2.0,4.0,4.0
bdi_only,tercero,15,cerrada,3.5,3.0,,4.0,3.0,4.0,4.0,4.0,2.0,4.0,,2.0,4.0,3.5
bdi_only,tercero,16,confrontativa,3.8333,4.0,,4.0,4.0,4.0,4.0,5.0,2.0,5.0,,4.0,4.0,4.0
bdi_only,tercero,17,abierta,3.0,3.0,,4.0,2.0,2.0,4.0,4.0,2.0,4.0,,2.0,4.0,2.0
bdi_only,tercero,18,confrontativa,3.1667,3.0,,4.0,2.0,2.0,4.0,5.0,2.0,4.0,,2.0,4.0,2.0
bdi_only,tercero,19,abierta,3.3333,3.0,,4.0,2.0,4.0,4.0,4.0,2.0,4.0,,2.0,4.0,3.0
bdi_only,tercero,20,confrontativa,3.3333,4.0,,4.0,2.0,3.0,4.0,4.0,3.0,4.0,,4.0,4.0,2.5
bdi_only,tercero,21,confrontativa,4.0,4.0,,4.0,4.0,4.0,4.0,5.0,3.0,5.0,,4.0,4.0,4.0
bdi_only,tercero,22,confrontativa,3.3333,4.0,,4.0,2.0,4.0,4.0,4.0,2.0,4.0,,4.0,4.0,3.0
bdi_only,tercero,23,confrontativa,3.8333,3.0,,4.0,4.0,4.0,4.0,5.0,2.0,5.0,,2.0,4.0,4.0
bdi_rag,victima,1,cerrada,4.3333,3.5,0.6131,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,2.0,5.0,4.0
bdi_rag,victima,2,cerrada,3.8333,3.5,0.6337,4.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,2.0,5.0,3.0
bdi_rag,victima,3,abierta,4.3333,3.5,0.5591,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,2.0,5.0,4.0
bdi_rag,victima,4,cerrada,4.5,3.5,0.4631,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,2.0,5.0,4.5
bdi_rag,victima,5,abierta,4.6667,3.5,0.5767,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,2.0,5.0,4.5
bdi_rag,victima,6,cerrada,4.0,3.5,0.6768,4.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,2.0,5.0,3.5
bdi_rag,victima,7,abierta,4.6667,3.0,0.5582,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,1.0,5.0,4.5
bdi_rag,victima,8,cerrada,4.5,3.5,0.4782,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,2.0,5.0,4.0
bdi_rag,victima,9,abierta,4.3333,3.5,0.4663,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,2.0,5.0,4.0
bdi_rag,victima,10,confrontativa,4.3333,3.5,0.5156,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,2.0,5.0,4.0
bdi_rag,victima,11,abierta,4.5,3.5,0.5555,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,2.0,5.0,4.5
bdi_rag,victima,12,cerrada,4.1667,3.5,0.6321,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,2.0,5.0,4.0
bdi_rag,victima,13,confrontativa,4.0,3.5,0.6583,4.0,2.0,4.0,5.0,5.0,4.0,5.0,4.0,2.0,5.0,3.0
bdi_rag,victima,14,cerrada,4.0,3.5,0.6861,4.0,3.0,4.0,5.0,4.0,4.0,5.0,4.0,2.0,5.0,3.5
bdi_rag,victima,15,confrontativa,4.0,3.5,0.5904,4.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,2.0,5.0,3.5
bdi_rag,victima,16,abierta,4.3333,3.5,0.5715,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,2.0,5.0,4.0
bdi_rag,victima,17,confrontativa,4.3333,4.5,0.5814,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0
bdi_rag,victima,18,confrontativa,3.6667,3.5,0.6359,4.0,4.0,3.0,5.0,2.0,4.0,4.0,4.0,2.0,5.0,3.5
bdi_rag,victima,19,abierta,3.6667,3.5,0.6181,4.0,2.0,4.0,5.0,2.0,5.0,4.0,4.0,2.0,5.0,3.0
bdi_rag,victima,20,confrontativa,4.1667,3.5,0.6591,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,2.0,5.0,4.0
bdi_rag,victima,21,confrontativa,4.6667,3.5,0.5952,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,2.0,5.0,4.5
