ngrama,frecuencia,tfidf,specificity_score,ngram_size,rol
toda,6124,0.01837,0.138697,1,victima
sido,5829,0.018363,0.136536,1,victima
ejercito,6613,0.018314,0.214393,1,victima
sus,5807,0.018308,0.110895,1,victima
muchas,5545,0.018103,0.140842,1,victima
hecho,5945,0.018067,0.133497,1,victima
fui,5864,0.01803,0.165012,1,victima
sino,5529,0.018011,0.141375,1,victima
pronto,5652,0.017961,0.160305,1,victima
paramilitares,5465,0.017891,0.218777,1,victima
llego,5641,0.017872,0.185027,1,victima
tenian,5382,0.017868,0.208429,1,victima
hijos,5552,0.017734,0.150606,1,victima
hacia,5250,0.017632,0.1384,1,victima
trabajo,5717,0.017531,0.128733,1,victima
iban,4865,0.017481,0.176677,1,victima
poco,5376,0.017421,0.127526,1,victima
persona,5147,0.017336,0.137273,1,victima
verdad,5134,0.01731,0.132278,1,victima
puede,5019,0.017303,0.115105,1,victima
test,5038,0.017288,0.191459,1,victima
dos,4916,0.017222,0.114171,1,victima
todas,5089,0.017169,0.127256,1,victima
mataron,4665,0.017128,0.186749,1,victima
trabajar,4757,0.01712,0.148901,1,victima
decian,4670,0.017064,0.213193,1,victima
van,5158,0.016987,0.137237,1,victima
finca,5130,0.016973,0.193791,1,victima
digamos,7002,0.016924,0.180822,1,victima
estamos,4513,0.016907,0.135029,1,victima
estoy,4927,0.016784,0.120175,1,victima
vamos,5220,0.016768,0.135468,1,victima
dijeron,4395,0.016744,0.160899,1,victima
salir,4373,0.016736,0.140205,1,victima
tal,5182,0.016677,0.128968,1,victima
estado,5188,0.016567,0.118621,1,victima
grupo,4457,0.016563,0.130396,1,victima
ejemplo,5407,0.01645,0.134052,1,victima
hubo,4605,0.016444,0.149445,1,victima
acuerdo,4735,0.016399,0.127982,1,victima
hicieron,4041,0.016326,0.149112,1,victima
sabe,4201,0.016301,0.13621,1,victima
dios,3975,0.016282,0.127069,1,victima
nadie,4156,0.016273,0.124731,1,victima
dicen,3956,0.016129,0.1377,1,victima
hermano,4105,0.016094,0.144009,1,victima
toco,3866,0.01597,0.184331,1,victima
comunidad,4249,0.015958,0.140615,1,victima
hijo,4244,0.015888,0.131649,1,victima
lado,3958,0.015835,0.126467,1,victima
mucha,4087,0.015808,0.137116,1,victima
grupos,3569,0.015792,0.138427,1,victima
gracias,3636,0.015791,0.114158,1,victima
cuenta,3911,0.015779,0.116953,1,victima
todavia,3790,0.015771,0.170249,1,victima
senora,3931,0.015623,0.211886,1,victima
llegaron,3465,0.015556,0.154059,1,victima
llama,3724,0.015489,0.137228,1,victima
solo,3893,0.015398,0.10635,1,victima
colombia,5464,0.015359,0.137432,1,victima
plata,3957,0.015346,0.138802,1,victima
algun,3391,0.015321,0.158957,1,victima
soy,3624,0.01532,0.113551,1,victima
alli,4765,0.015263,0.169738,1,victima
muchos,3716,0.015256,0.117298,1,victima
policia,3817,0.015185,0.171804,1,victima
tenemos,3759,0.015185,0.120578,1,victima
quedo,3355,0.015144,0.154744,1,victima
cada,3334,0.015099,0.107764,1,victima
situacion,3674,0.01502,0.176427,1,victima
caso,3670,0.015008,0.11366,1,victima
miedo,3206,0.014997,0.129735,1,victima
vivir,3062,0.014975,0.128875,1,victima
zona,4077,0.014876,0.127309,1,victima
dio,3217,0.014874,0.128671,1,victima
ninos,3546,0.014858,0.195963,1,victima
casi,3288,0.014851,0.117926,1,victima
epoca,3669,0.014782,0.181567,1,victima
hoy,4014,0.01475,0.110681,1,victima
pasa,3266,0.014663,0.118796,1,victima
proceso,4013,0.014657,0.124121,1,victima
gobierno,3529,0.014655,0.108622,1,victima
vereda,2771,0.014644,0.174904,1,victima
ahorita,3043,0.014622,0.165079,1,victima
haciendo,3252,0.01459,0.119567,1,victima
podia,3232,0.014581,0.163387,1,victima
vivia,2658,0.014565,0.188594,1,victima
tema,4698,0.014546,0.120529,1,victima
fuera,3109,0.014539,0.114122,1,victima
meses,2974,0.014525,0.11968,1,victima
dieron,2918,0.01439,0.137628,1,victima
conflicto,3272,0.014386,0.141825,1,victima
mejor,3183,0.014326,0.100598,1,victima
teniamos,3414,0.014314,0.180928,1,victima
hacian,2797,0.01429,0.177296,1,victima
pais,4115,0.014229,0.14795,1,victima
sabia,3091,0.014226,0.151996,1,victima
noche,3033,0.014202,0.112772,1,victima
pasado,2821,0.014191,0.112685,1,victima
primero,2963,0.014146,0.116882,1,victima
nombre,2950,0.014133,0.110297,1,victima
queria,3087,0.014108,0.153518,1,victima
dicho,2988,0.014098,0.116485,1,victima
violencia,2738,0.01406,0.129082,1,victima
victimas,2721,0.013991,0.169518,1,victima
dar,2677,0.013963,0.113125,1,victima
hablar,3197,0.013962,0.11407,1,victima
llegue,2904,0.013954,0.138193,1,victima
frente,2903,0.01395,0.115263,1,victima
duro,2760,0.013941,0.134279,1,victima
llegar,2753,0.013843,0.115322,1,victima
mundo,3227,0.013816,0.098924,1,victima
quiero,2866,0.013803,0.101991,1,victima
vino,2379,0.01369,0.127201,1,victima
paz,2856,0.013686,0.117125,1,victima
pasar,2550,0.01368,0.115211,1,victima
haber,2733,0.01368,0.107699,1,victima
tipo,3338,0.013663,0.105352,1,victima
mujeres,2879,0.01363,0.109812,1,victima
estabamos,2844,0.013605,0.162494,1,victima
medio,2580,0.013556,0.106097,1,victima
mire,3068,0.013501,0.148114,1,victima
luego,2996,0.013489,0.102774,1,victima
llevaron,2454,0.013474,0.139203,1,victima
matar,2570,0.013459,0.129948,1,victima
territorio,3192,0.013376,0.126116,1,victima
igual,2662,0.013328,0.108611,1,victima
tenido,2467,0.013325,0.116802,1,victima
fuimos,2559,0.013305,0.137457,1,victima
mujer,2393,0.013263,0.104697,1,victima
inad,3369,0.013246,0.183,1,victima
puedo,2512,0.013239,0.104227,1,victima
trabajando,2331,0.013211,0.12395,1,victima
llamaba,2437,0.013167,0.142139,1,victima
tierra,2641,0.013119,0.109904,1,victima
problema,2681,0.013045,0.105098,1,victima
hechos,2160,0.013028,0.120456,1,victima
hija,2314,0.01297,0.117533,1,victima
mal,2323,0.012916,0.100487,1,victima
dud,2547,0.012885,0.176645,1,victima
solamente,2345,0.012789,0.117664,1,victima
muchacho,2237,0.012772,0.138127,1,victima
tampoco,2290,0.012741,0.111124,1,victima
nino,2529,0.01272,0.160585,1,victima
llega,2306,0.012682,0.114923,1,victima
desplazamiento,1760,0.012667,0.146207,1,victima
queda,2013,0.012667,0.108404,1,victima
mio,2280,0.012663,0.133071,1,victima
venia,2382,0.012654,0.150398,1,victima
tuve,2187,0.012613,0.118058,1,victima
hermanos,1985,0.01261,0.12032,1,victima
coca,2374,0.012592,0.135391,1,victima
risas,2579,0.01259,0.142971,1,victima
grande,2148,0.012587,0.105176,1,victima
hermana,2050,0.012574,0.119699,1,victima
daba,2053,0.012548,0.126547,1,victima
dificil,2164,0.012546,0.138943,1,victima
viene,2277,0.012523,0.106914,1,victima
empezo,2247,0.012518,0.15486,1,victima
hacen,2180,0.012506,0.104184,1,victima
quiere,2149,0.012505,0.099297,1,victima
empezaron,2026,0.012484,0.132041,1,victima
manana,2192,0.012431,0.161119,1,victima
salio,2077,0.012415,0.140464,1,victima
ayuda,1712,0.012407,0.104776,1,victima
alguien,2123,0.012394,0.093298,1,victima
dentro,2272,0.012354,0.098666,1,victima
tuvo,2013,0.012319,0.105426,1,victima
farc,2074,0.012314,0.139022,1,victima
vine,1821,0.012304,0.136584,1,victima
nina,2048,0.01228,0.146205,1,victima
volver,1934,0.012273,0.107347,1,victima
somos,1982,0.012239,0.10196,1,victima
historia,2110,0.012238,0.093803,1,victima
vea,2122,0.012178,0.121969,1,victima
cual,1994,0.012141,0.093616,1,victima
rio,2068,0.01205,0.126367,1,victima
recuerdo,2333,0.01202,0.108924,1,victima
vive,1724,0.011998,0.109807,1,victima
cont,2784,0.011989,0.155238,1,victima
poquito,1890,0.011983,0.12271,1,victima
esposo,2053,0.011962,0.123582,1,victima
comida,1822,0.01193,0.105696,1,victima
estuvo,1939,0.01191,0.106033,1,victima
cualquier,1959,0.011886,0.092761,1,victima
armado,1848,0.011846,0.12737,1,victima
mayor,1810,0.011808,0.091315,1,victima
publica,1994,0.011752,0.119829,1,victima
listo,1896,0.011739,0.114414,1,victima
trabajaba,1722,0.011721,0.127544,1,victima
buscar,1745,0.011716,0.105675,1,victima
unico,1810,0.011688,0.126173,1,victima
llegaban,1630,0.011683,0.137696,1,victima
cree,1517,0.011659,0.106704,1,victima
informacion,2028,0.011652,0.134492,1,victima
don,1961,0.011594,0.10852,1,victima
tres,1636,0.011577,0.087409,1,victima
ido,1618,0.011576,0.110199,1,victima
estuve,1900,0.011567,0.115594,1,victima
arriba,1833,0.011557,0.104531,1,victima
carro,1961,0.011539,0.121778,1,victima
quede,1618,0.011539,0.115314,1,victima
problemas,1718,0.011504,0.094529,1,victima
seguir,1704,0.011486,0.096734,1,victima
mismos,1686,0.011483,0.10275,1,victima
sacar,1734,0.011473,0.108433,1,victima
haya,1630,0.011451,0.096439,1,victima
pesos,1829,0.011449,0.108206,1,victima
llegamos,1819,0.011427,0.120596,1,victima
venian,1627,0.011412,0.147436,1,victima
armados,1532,0.011388,0.1259,1,victima
dado,1561,0.011382,0.098726,1,victima
edad,1526,0.011382,0.099271,1,victima
adelante,1617,0.011343,0.102595,1,victima
seria,1518,0.011309,0.111233,1,victima
muchachos,1698,0.011305,0.120787,1,victima
vaya,1753,0.011291,0.101565,1,victima
tarde,1585,0.011283,0.092713,1,victima
estudiar,1605,0.011278,0.108125,1,victima
hubiera,1590,0.011273,0.099108,1,victima
importante,1888,0.011261,0.091234,1,victima
mira,1832,0.011221,0.098359,1,victima
conmigo,1678,0.011214,0.102631,1,victima
familias,1675,0.01117,0.105569,1,victima
tocaba,1565,0.011147,0.128663,1,victima
aja,1866,0.011137,0.14216,1,victima
bastante,1542,0.011132,0.0963,1,victima
presencia,1543,0.011114,0.103016,1,victima
entrevista,1454,0.011069,0.106121,1,victima
tierras,1816,0.011063,0.107058,1,victima
guerra,1665,0.011044,0.089224,1,victima
llegaba,1628,0.011027,0.123562,1,victima
toca,1481,0.01101,0.109037,1,victima
sola,1510,0.011005,0.099538,1,victima
veia,1544,0.011003,0.135149,1,victima
contra,1883,0.010982,0.081398,1,victima
sali,1423,0.010969,0.135517,1,victima
apoyo,1427,0.010925,0.094762,1,victima
quedaron,1335,0.010906,0.111929,1,victima
comandante,1611,0.010903,0.109446,1,victima
cambio,1511,0.010896,0.089533,1,victima
daban,1436,0.010889,0.120592,1,victima
cuanto,1406,0.010863,0.092254,1,victima
colegio,1571,0.010856,0.10013,1,victima
hablando,1833,0.010854,0.096395,1,victima
dan,1401,0.010833,0.095676,1,victima
dejar,1562,0.010832,0.09173,1,victima
escuela,1428,0.010831,0.093212,1,victima
ningun,1555,0.010822,0.118475,1,victima
hombre,1609,0.010816,0.085151,1,victima
practicamente,1672,0.01081,0.136806,1,victima
pasaba,1485,0.010794,0.113915,1,victima
pueden,1492,0.010777,0.082355,1,victima
primer,1503,0.010776,0.083838,1,victima
has,1213,0.010743,0.094663,1,victima
tuvieron,1287,0.010731,0.103845,1,victima
realmente,1937,0.010693,0.091021,1,victima
murio,1386,0.010692,0.131898,1,victima
volvio,1297,0.010674,0.132616,1,victima
agua,1690,0.010667,0.086178,1,victima
viviendo,1354,0.010647,0.107375,1,victima
pagar,1437,0.010629,0.098036,1,victima
primera,1576,0.010623,0.081424,1,victima
abajo,1449,0.010612,0.098118,1,victima
social,1721,0.010574,0.085915,1,victima
pasando,1521,0.010564,0.098636,1,victima
eramos,1403,0.010557,0.126504,1,victima
mes,1398,0.010553,0.089621,1,victima
fuerte,1536,0.010529,0.091083,1,victima
dejo,1326,0.010506,0.102397,1,victima
llevo,1439,0.010496,0.103237,1,victima
llevaban,1274,0.010479,0.117656,1,victima
quienes,1417,0.010474,0.090371,1,victima
parece,1545,0.010466,0.079741,1,victima
derechos,1831,0.01045,0.088747,1,victima
vivido,1199,0.01044,0.109483,1,victima
guerrilleros,1400,0.010439,0.125292,1,victima
hago,1414,0.010436,0.09457,1,victima
ley,1426,0.010435,0.08167,1,victima
mano,1487,0.010433,0.086914,1,victima
fuerza,1440,0.010424,0.090416,1,victima
reunion,1497,0.010404,0.128537,1,victima
llegan,1289,0.010398,0.10275,1,victima
mataban,1126,0.010398,0.13421,1,victima
amenazas,1337,0.010388,0.112344,1,victima
muerte,1395,0.010384,0.085326,1,victima
salud,1353,0.010382,0.088849,1,victima
campo,1314,0.010381,0.091266,1,victima
contar,1245,0.010365,0.098433,1,victima
buena,1369,0.01036,0.081781,1,victima
podemos,1422,0.010348,0.082891,1,victima
llevar,1377,0.010347,0.091671,1,victima
temor,1152,0.010325,0.109661,1,victima
tienes,1264,0.010307,0.083505,1,victima
ibamos,1352,0.010296,0.129645,1,victima
horas,1236,0.010291,0.083862,1,victima
casas,1193,0.010284,0.096488,1,victima
querian,1222,0.010227,0.129112,1,victima
visto,1270,0.01022,0.085617,1,victima
vinieron,1147,0.010213,0.111808,1,victima
dejaron,1235,0.010205,0.104277,1,victima
relacion,1407,0.010186,0.11757,1,victima
vivo,1165,0.010179,0.090622,1,victima
jovenes,1236,0.010163,0.120387,1,victima
sacaron,1251,0.010161,0.114715,1,victima
amigos,1290,0.010153,0.083428,1,victima
campesinos,1596,0.010142,0.111685,1,victima
ciudad,1276,0.010136,0.077002,1,victima
favor,1294,0.010127,0.082047,1,victima
ninguna,1214,0.010103,0.086253,1,victima
salia,1197,0.010096,0.127613,1,victima
politica,1710,0.010089,0.117072,1,victima
inc,1362,0.010086,0.115999,1,victima
hombres,1240,0.010052,0.082377,1,victima
comunidades,1785,0.01002,0.098555,1,victima
victima,1052,0.010013,0.121885,1,victima
millones,1375,0.010009,0.081564,1,victima
varios,1232,0.010007,0.082919,1,victima
sentido,1279,0.009993,0.084625,1,victima
hicimos,1307,0.009958,0.105521,1,victima
esposa,1256,0.009946,0.093776,1,victima
dinero,1399,0.009916,0.080569,1,victima
cierto,1374,0.00991,0.082807,1,victima
nuestro,1321,0.00991,0.075285,1,victima
cerca,1207,0.009891,0.082648,1,victima
padre,1564,0.009862,0.082618,1,victima
muertos,1149,0.009853,0.092899,1,victima
incluso,1736,0.009841,0.081312,1,victima
familiar,1136,0.00981,0.095613,1,victima
empece,1418,0.009797,0.124298,1,victima
mirar,1234,0.009788,0.095826,1,victima
entrar,1238,0.009785,0.088504,1,victima
muerto,1151,0.009765,0.0914,1,victima
partes,1078,0.00975,0.08659,1,victima
cogieron,1082,0.009736,0.126569,1,victima
llevaba,1189,0.009726,0.100044,1,victima
habido,1141,0.009726,0.100044,1,victima
vienen,1150,0.009726,0.093021,1,victima
volvi,1014,0.009717,0.12188,1,victima
irse,1113,0.009715,0.099705,1,victima
gusta,1077,0.009708,0.078652,1,victima
debe,1155,0.009704,0.074825,1,victima
nuestra,1225,0.009696,0.074094,1,victima
pienso,1287,0.009686,0.08978,1,victima
alcalde,1377,0.009684,0.093932,1,victima
mayoria,1119,0.009675,0.114419,1,victima
punto,1381,0.009663,0.077851,1,victima
crees,929,0.009649,0.093593,1,victima
inclusive,1279,0.009642,0.107832,1,victima
dona,1112,0.009636,0.118871,1,victima
normal,1126,0.009632,0.089057,1,victima
ultimo,1091,0.009624,0.103892,1,victima
poblacion,1164,0.009613,0.114255,1,victima
proyecto,1495,0.009613,0.080083,1,victima
armas,1170,0.009609,0.087328,1,victima
oportunidad,1066,0.0096,0.085258,1,victima
mientras,1183,0.009592,0.073522,1,victima
cabeza,1104,0.009583,0.080707,1,victima
sale,1158,0.009549,0.087215,1,victima
podian,1017,0.00953,0.11857,1,victima
ganado,1271,0.009513,0.092718,1,victima
varias,1111,0.009504,0.082002,1,victima
quisiera,1059,0.009498,0.093421,1,victima
dano,1040,0.009497,0.127763,1,victima
orden,1143,0.009492,0.080798,1,victima
siendo,1196,0.009489,0.077526,1,victima
cuento,1164,0.009467,0.094182,1,victima
cultivos,1036,0.009467,0.105673,1,victima
sabemos,1066,0.009462,0.087485,1,victima
lideres,1148,0.00946,0.117533,1,victima
siento,1107,0.00946,0.081413,1,victima
mando,1137,0.009459,0.090467,1,victima
companeros,1330,0.009443,0.129289,1,victima
ademas,1387,0.00944,0.102329,1,victima
guerrillero,1152,0.009439,0.116441,1,victima
quieren,1043,0.00943,0.081155,1,victima
salimos,966,0.009409,0.103444,1,victima
resulta,1363,0.009387,0.088718,1,victima
venga,1215,0.009377,0.093074,1,victima
amigo,1139,0.009365,0.078455,1,victima
barrio,1197,0.009365,0.089357,1,victima
reuniones,973,0.00936,0.098157,1,victima
diciendo,1184,0.009354,0.084141,1,victima
tuvimos,1040,0.009343,0.098182,1,victima
nivel,1254,0.009327,0.077509,1,victima
camino,1116,0.009319,0.079752,1,victima
denuncia,1022,0.009315,0.094758,1,victima
tenga,1023,0.009314,0.082718,1,victima
atras,1018,0.009289,0.105645,1,victima
joven,930,0.00928,0.081586,1,victima
llamo,1155,0.009279,0.097308,1,victima
matan,1021,0.009262,0.101828,1,victima
viviamos,812,0.009251,0.126323,1,victima
cuantos,926,0.009244,0.091753,1,victima
tio,1291,0.009237,0.104508,1,victima
habiamos,1108,0.009221,0.121001,1,victima
directamente,1034,0.009212,0.08664,1,victima
pesar,1028,0.00921,0.080327,1,victima
papeles,939,0.009209,0.094917,1,victima
quedamos,895,0.009193,0.100035,1,victima
madre,1037,0.009191,0.075091,1,victima
militar,1119,0.009189,0.083113,1,victima
comprar,941,0.009184,0.083881,1,victima
calle,954,0.009177,0.078779,1,victima
pueda,1043,0.009163,0.078857,1,victima
pude,920,0.009141,0.090731,1,victima
seguridad,1135,0.009127,0.076461,1,victima
negocio,1070,0.009122,0.085382,1,victima
vender,974,0.00912,0.091548,1,victima
sigue,1049,0.009112,0.075909,1,victima
ropa,913,0.009111,0.08445,1,victima
mato,896,0.009099,0.101006,1,victima
presidente,1084,0.009064,0.071973,1,victima
vio,932,0.009046,0.086926,1,victima
tanta,970,0.009031,0.08617,1,victima
nacional,1254,0.009023,0.068747,1,victima
facil,1008,0.009019,0.100673,1,victima
poner,1021,0.009016,0.077995,1,victima
coger,985,0.009016,0.09633,1,victima
puesto,1088,0.009006,0.076661,1,victima
idea,1038,0.009004,0.073987,1,victima
carretera,955,0.009002,0.090785,1,victima
falta,955,0.009,0.073756,1,victima
semana,1086,0.008998,0.0729,1,victima
podido,968,0.008987,0.087592,1,victima
padres,864,0.008974,0.079507,1,victima
volvieron,813,0.008956,0.097649,1,victima
grandes,1081,0.008956,0.073395,1,victima
veo,1053,0.008951,0.07559,1,victima
salieron,857,0.008948,0.094641,1,victima
tranquilo,885,0.008944,0.0902,1,victima
monte,863,0.008943,0.092784,1,victima
siente,875,0.008931,0.085216,1,victima
comer,925,0.008929,0.080318,1,victima
campesino,1147,0.008925,0.106598,1,victima
estuvimos,931,0.008913,0.10099,1,victima
mil,1007,0.008909,0.075031,1,victima
quedaba,987,0.008904,0.096119,1,victima
buenas,797,0.008892,0.077338,1,victima
estudio,868,0.008882,0.077857,1,victima
entro,913,0.008861,0.098724,1,victima
puso,985,0.008859,0.08332,1,victima
llegado,905,0.008847,0.083207,1,victima
papas,937,0.008836,0.097303,1,victima
aun,936,0.008822,0.07816,1,victima
tomar,906,0.008808,0.075379,1,victima
razon,998,0.008806,0.092539,1,victima
entonces eso,2586,0.014392,0.014392,2,victima
eso como,2078,0.013349,0.013349,2,victima
porque eso,1942,0.013178,0.013178,2,victima
eso eso,1885,0.012835,0.012835,2,victima
mucha gente,1723,0.012548,0.012548,2,victima
pues como,1801,0.012508,0.012508,2,victima
porque como,1572,0.012394,0.012394,2,victima
asi como,1782,0.012377,0.012377,2,victima
porque pues,1843,0.012268,0.012268,2,victima
entonces ahi,1496,0.011823,0.011823,2,victima
entonces como,1732,0.011778,0.011778,2,victima
gracias dios,1310,0.011608,0.011608,2,victima
eso porque,1426,0.011422,0.011422,2,victima
como digo,1417,0.011408,0.011408,2,victima
como como,1472,0.011378,0.011378,2,victima
entonces pues,1573,0.011353,0.011353,2,victima
eso entonces,1434,0.011311,0.011311,2,victima
eso pues,1240,0.011085,0.011085,2,victima
pues eso,1147,0.01071,0.01071,2,victima
entonces dije,1409,0.0105,0.0105,2,victima
conflicto armado,989,0.010397,0.010397,2,victima
muy bien,1131,0.010204,0.010204,2,victima
porque hay,1025,0.010164,0.010164,2,victima
nada eso,990,0.010098,0.010098,2,victima
muchas gracias,907,0.010032,0.010032,2,victima
entonces dijo,1228,0.010003,0.010003,2,victima
bueno entonces,973,0.00986,0.00986,2,victima
ahi como,960,0.009798,0.009798,2,victima
usted sabe,915,0.009762,0.009762,2,victima
grupos armados,816,0.009756,0.009756,2,victima
mejor dicho,1085,0.009712,0.009712,2,victima
porque estaba,983,0.00953,0.00953,2,victima
como eso,868,0.009379,0.009379,2,victima
muy dificil,910,0.009269,0.009269,2,victima
organizacion publica,1095,0.009262,0.009262,2,victima
despues eso,789,0.00925,0.00925,2,victima
muy duro,841,0.009225,0.009225,2,victima
eso muy,866,0.009197,0.009197,2,victima
nada porque,830,0.009137,0.009137,2,victima
pues ahi,771,0.009001,0.009001,2,victima
sus hijos,753,0.008919,0.008919,2,victima
todas maneras,873,0.008828,0.008828,2,victima
nada nada,746,0.008796,0.008796,2,victima
sea como,835,0.008783,0.008783,2,victima
porque usted,729,0.008608,0.008608,2,victima
algun momento,753,0.008562,0.008562,2,victima
ahi ahi,679,0.008505,0.008505,2,victima
ahi entonces,725,0.008438,0.008438,2,victima
como tal,821,0.008371,0.008371,2,victima
estaba ahi,701,0.008359,0.008359,2,victima
ahi pues,646,0.008323,0.008323,2,victima
pues porque,658,0.008296,0.008296,2,victima
usted dice,648,0.008278,0.008278,2,victima
eso ahi,677,0.008246,0.008246,2,victima
esto esto,741,0.008123,0.008123,2,victima
nada entonces,647,0.008115,0.008115,2,victima
toda gente,649,0.007974,0.007974,2,victima
porque gente,611,0.007888,0.007888,2,victima
don test,672,0.007886,0.007886,2,victima
muy importante,641,0.007863,0.007863,2,victima
porque ahi,598,0.007831,0.007831,2,victima
como dice,601,0.007715,0.007715,2,victima
hay gente,578,0.007682,0.007682,2,victima
como estaba,619,0.007613,0.007613,2,victima
porque tengo,578,0.007595,0.007595,2,victima
iban matar,557,0.007589,0.007589,2,victima
bueno eso,585,0.007559,0.007559,2,victima
muchas personas,505,0.007555,0.007555,2,victima
ahi eso,547,0.007548,0.007548,2,victima
ahi porque,556,0.007534,0.007534,2,victima
asi entonces,607,0.007531,0.007531,2,victima
eso paso,558,0.007477,0.007477,2,victima
grupo armado,457,0.007425,0.007425,2,victima
derechos humanos,844,0.007361,0.007361,2,victima
estaba muy,577,0.007355,0.007355,2,victima
millones pesos,571,0.00733,0.00733,2,victima
como usted,515,0.007306,0.007306,2,victima
fuerza publica,527,0.007283,0.007283,2,victima
sea eso,526,0.007249,0.007249,2,victima
bueno pues,512,0.007213,0.007213,2,victima
eso hay,517,0.007165,0.007165,2,victima
eso hace,465,0.007165,0.007165,2,victima
como muy,532,0.007159,0.007159,2,victima
eso sea,466,0.007146,0.007146,2,victima
ahi hay,513,0.007143,0.007143,2,victima
proceso paz,498,0.007103,0.007103,2,victima
entonces gente,478,0.007039,0.007039,2,victima
eso estaba,501,0.006997,0.006997,2,victima
porque son,490,0.006967,0.006967,2,victima
hasta ahora,440,0.006943,0.006943,2,victima
eso digo,510,0.006941,0.006941,2,victima
paso eso,420,0.006909,0.006909,2,victima
como asi,479,0.00689,0.00689,2,victima
eso asi,460,0.006884,0.006884,2,victima
organizacion organizacion,470,0.006846,0.006846,2,victima
habian matado,423,0.006826,0.006826,2,victima
accion comunal,484,0.006825,0.006825,2,victima
creo eso,536,0.006813,0.006813,2,victima
usted como,413,0.006811,0.006811,2,victima
eso bueno,445,0.006806,0.006806,2,victima
dije pues,522,0.006762,0.006762,2,victima
muy grande,456,0.006751,0.006751,2,victima
hace como,398,0.006712,0.006712,2,victima
unidad victimas,390,0.006706,0.006706,2,victima
porque habian,428,0.006695,0.006695,2,victima
estaban ahi,437,0.006675,0.006675,2,victima
papa mama,437,0.006671,0.006671,2,victima
interrup cont,593,0.006644,0.006644,2,victima
gente como,414,0.006639,0.006639,2,victima
ver como,456,0.006637,0.006637,2,victima
asi sea,455,0.0066,0.0066,2,victima
porque eran,441,0.00658,0.00658,2,victima
sido muy,408,0.006524,0.006524,2,victima
entonces fui,426,0.006515,0.006515,2,victima
muy muy,444,0.006495,0.006495,2,victima
muy fuerte,466,0.006491,0.006491,2,victima
entonces dijeron,414,0.006488,0.006488,2,victima
asi porque,402,0.006475,0.006475,2,victima
entonces hay,421,0.006469,0.006469,2,victima
eran como,417,0.006456,0.006456,2,victima
van matar,456,0.006449,0.006449,2,victima
entonces decia,484,0.006437,0.006437,2,victima
estamos hablando,453,0.00642,0.00642,2,victima
asi asi,415,0.006397,0.006397,2,victima
como meses,399,0.00639,0.00639,2,victima
hay mucha,395,0.006376,0.006376,2,victima
ahi estaba,426,0.006357,0.006357,2,victima
usted puede,396,0.006338,0.006338,2,victima
mucho porque,400,0.006324,0.006324,2,victima
dije voy,446,0.006318,0.006318,2,victima
dona test,475,0.006312,0.006312,2,victima
entonces usted,397,0.00631,0.00631,2,victima
dije bueno,417,0.006303,0.006303,2,victima
dios mio,472,0.00629,0.00629,2,victima
estaba haciendo,389,0.006282,0.006282,2,victima
entonces bueno,455,0.006261,0.006261,2,victima
